Country,Activity,Location,Sex,Fatal Y/N,Species,Type
SOUTH AFRICA,Surfing related,"North Beach, Durban",M,Unknown,No shark involvement,Invalid
NEW ZEALAND,Swimming related,Clark Island,M,Yes,"White shark, 2.8 to 3 m ",Unprovoked
AUSTRALIA,Surfing related,Coffee Head,M,No,,Unprovoked
AUSTRALIA,Boating related,Hawks Nest Beach,Unknown,No,White shark,Watercraft
USA,Diving related,"Adventure Aquarium, Camden",M,No,"Sandtiger shark, 8'",Provoked
USA,Surfing related,"Huntington Beach, Orange County",M,Unknown,Shark involvement not confirmed,Invalid
USA,Swimming related,"Lori Wilson Park, Cocoa Beach, Brevard County",M,No,6' shark,Unprovoked
USA,Fishing related,"Loch Lomond, Marin County",M,No,Thresher shark,Unprovoked
USA,Surfing related,"Jupiter, Palm Beach County",M,No,,Unprovoked
USA,Surfing related,"Jupiter, Palm Beach County",F,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,4' shark,Unprovoked
AUSTRALIA,Boating related,Second Valley,M,No,2 m shark,Unprovoked
USA,Surfing related,"Davenport, Santa Cruz County",M,No,,Unprovoked
AUSTRALIA,Boating related,Portland,M,No,"White shark, 4m",Watercraft
MOZAMBIQUE,Fishing related,Off Vilanculo,M,No,Zambesi shark,Unprovoked
AUSTRALIA,Surfing related,Lennox Heads,F,No,,Unprovoked
USA,Surfing related,"San Onofre, San Diego County ",M,No,,Unprovoked
USA,Surfing related,"Kalama Park, Maui",M,No,6' to 8' shark,Unprovoked
PANAMA,Swimming related,Playa La Cabaña ,F,No,,Unprovoked
SCOTLAND,Diving related,Deep Sea World Aquarium,M,No,Angel shark,Provoked
AUSTRALIA,Diving related,,M,No,"Bull shark, 10'",Unprovoked
USA,Surfing related,"San Onofre State Beach, San Diego County",M,No,,Unprovoked
UNITED KINGDOM,Fishing related,Mewstone Rock,M,No,Spurdog,Provoked
USA,Swimming related,"Key Colony Beach, Monroe County",M,No,"Bull shark, 8'",Unprovoked
VIETNAM,unknown,,M,No,,Unprovoked
SOMALIA,Fishing related,300 miles off the coast ,M,No,,Provoked
BRAZIL,unknown,"Piedade, Recife",M,Yes,,Provoked
USA,Swimming related,"Corolla, Currituck County",M,Yes,Shark involvement prior to death not confirmed,Invalid
BRAZIL,Swimming related,"Piedade, Recife",M,Yes,,Unprovoked
NEVIS,Swimming related,Castle Beach,M,Unknown,Invalid,Invalid
SOLOMON ISLANDS,Fishing related,"Kirakira, Makira Island (formerly San Cristobal)",M,No,,Provoked
USA,Surfing related,"Huntington Beach, Orange County",M,No,4' shark,Unprovoked
SOUTH AFRICA,Surfing related,Glentana,M,Yes,White shark,Unprovoked
USA,Swimming related,"Terramar Beach, Carlsbad, San Diego County",F,No,"White shark, 5' to 6' juvenile ",Unprovoked
SOUTH AFRICA,Surfing related,Alkantstrand ,M,No,"White shark, 2m",Unprovoked
USA,Swimming related,"Ponce, Volusia County",M,No,,Unprovoked
USA,Surfing related,Kawa'a ,M,No,"Tiger shark, 12",Unprovoked
USA,Fishing related,"Curlew Island, Breton Sound",M,No,Bull shark?,Unprovoked
BAHAMAS,Fishing related,Spanish Cay,M,No,Bull shark,Unprovoked
AUSTRALIA,Surfing related,Broken Head,M,No,,Unprovoked
VIETNAM,Swimming related,Quy Nhon ,F,No,,Unprovoked
KENYA,Other,Likoni Channel,M,Yes,,Unprovoked
USA,Swimming related,South Padre Island,F,No,,Unprovoked
SPAIN,Swimming related,Sant Salvador,F,Unknown,Shark involvement questionable,Invalid
USA,Swimming related,Holden Beach. Brunswick County,F,No,,Unprovoked
USA,Swimming related,"Intracoastal Waterway,      St. Petersburg",F,No,,Unprovoked
VIETNAM,Swimming related,Quy Nhon ,M,No,,Unprovoked
BAHAMAS,Fishing related,,M,No,"Caribbean reef shark, 6'",Provoked
USA,Surfing related,"San Onofre, San Diego County ",M,No,5' shark,Unprovoked
SOUTH AFRICA,Surfing related,"Jogensfontein, Stilbaai",M,No,,Unprovoked
USA,Surfing related,"Daytona Beach, Volusia County",F,No,,Unprovoked
USA,Swimming related,"Biscayne National Park, Miami",F,No,"Nurse shark, 6'",Provoked
AUSTRALIA,Surfing related,"Seven Mile Beach, Gerroa",M,No,"Thought to involve a Bronze whale shark, 2m",Unprovoked
USA,Surfing related,"Shell Beach, San Luis Obispo County",M,Unknown,Shark involvement not confirmed,Invalid
USA,Other,"Melbourne Beach, Brevard County",M,Unknown,"Shark involvement probable, but not confirmed",Invalid
VIETNAM,Fishing related,,M,No,White shark,Provoked
EGYPT,Diving related,Habili Gafar,M,No,Oceanic whitetip shark,Unprovoked
EGYPT,Diving related,Habili Gafar,M,No,Oceanic whitetip shark,Unprovoked
EGYPT,Diving related,Habili Gafar,F,Yes,"Oceanic whitetip shark, 2.5 to 3m",Unprovoked
TAIWAN,Fishing related,Onboard the fishing vessel Chin Sheng Fa 13  ,M,No,80 kg shark,Provoked
USA,Swimming related,"Clearwater Beach, Pinellas County",M,No,5' to 8' shark,Provoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,blacktip or spinner shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,blacktip or spinner shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,blacktip or spinner shark,Unprovoked
GUAM,Fishing related,Ritidian Point,M,No,"Blacktip shark, 4'",Provoked
BAHAMAS,Fishing related,,M,No,7' shark,Provoked
USA,unknown,"St. Augustine, St. John's County",F,No,,Unprovoked
USA,Surfing related,"San Onofre State Beach, San Diego County",M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
PHILIPPINES,Swimming related,Mabini,M,No,,Unprovoked
USA,Surfing related,"Carlin Park, Jupiter Inlet",M,No,,Unprovoked
USA,Surfing related,"Walton Rocks, St Lucie County",M,No,2' to 3' shark,Unprovoked
USA,Fishing related,Kona,M,Unknown,Shark involvement not confirmed,Invalid
AUSTRALIA,Surfing related,Fingal Bay,M,No,2' to 3' shark,Unprovoked
SOUTH AFRICA,Swimming related,Umtentweni,M,Unknown,Shark involvement not confirmed,Invalid
USA,Fishing related,San Diego County,M,No,"White shark, 12' to 15' female",Unprovoked
USA,Swimming related,"Sanibel Island, Lee County",M,No,,Unprovoked
SOUTH AFRICA,Fishing related,2-3 km north of Sunday's River mouth,M,No,Raggedtooth shark,Provoked
SOUTH AFRICA,Surfing related,"Second Beach, Port St. John's",M,Yes,,Unprovoked
AUSTRALIA,Surfing related,Blue Bay,M,No,Bronze whaler shark?,Unprovoked
AUSTRALIA,Surfing related,South Broulee,M,No,,Unprovoked
AUSTRALIA,Surfing related,Bateman's Bay,F,No,,Unprovoked
USA,Surfing related,"Ponce Inlet, Volusia County",F,No,3' to 4' shark,Unprovoked
MALAYSIA,Other,Pulau Payar Island,F,No,Blacktip reef shark pup,Unprovoked
USA,Swimming related,Alenuihaha Channel,M,No,Thought to involve a cookiecutter shark,Unprovoked
AUSTRALIA,Swimming related,"The Natural Jetty, Rottnest Island",M,No,"Wobbegong shark, 60cm",Provoked
NEW CALEDONIA,Surfing related,Bourail,M,Yes,,Unprovoked
SOUTH AFRICA,Fishing related,Off Cape Point,M,No,"Blue shark, 1m",Provoked
NEW ZEALAND,Fishing related,Taranaki,M,No,,Watercraft
AUSTRALIA,Surfing related,Avalon,M,No,2.6 m shark,Unprovoked
AUSTRALIA,Fishing related,Batt Reef,M,No,,Unprovoked
AUSTRALIA,Surfing related,"Shelly Beach, near Port Macquarie",M,No,,Unprovoked
AUSTRALIA,Surfing related,"Bondi Beach, Sydney",M,No,"White shark, 2.5m ",Unprovoked
AUSTRALIA,Surfing related,"Garden Point, Woolloomooloo Sydney Harbour",M,No,"Bull shark, 2.7 m ",Unprovoked
USA,Other,Quebradillas,M,Yes,,Sea Disaster
AUSTRALIA,Surfing related,Cellito Beach,M,No,"White shark, 12' ",Unprovoked
AUSTRALIA,Surfing related,Sandon,M,No,,Unprovoked
AZORES,Fishing related,Onboard the fishing vessel Nuevo Cedes ,M,No,,Provoked
BRAZIL,unknown,Praia do Olho d'Aqua,M,Unknown,Shark involvement prior to death was not confirmed,Invalid
CUBA,Fishing related,Guantanamo Bay,M,No,Bull shark,Unprovoked
NEW ZEALAND,Fishing related,Alderman Islands,Unknown,No,,Watercraft
AUSTRALIA,Swimming related,"Surf Beach, Batemans Bay",M,No,,Unprovoked
SOUTH AFRICA,Swimming related,"Second Beach, Port St. John's",M,Yes,Tiger shark,Unprovoked
BRAZIL,Swimming related,Olho d'Água ,M,Unknown,Invalid,Invalid
AUSTRALIA,Fishing related,Off Tower Hill,M,No,"White shark, 5.5 m ",Watercraft
NEW ZEALAND,Surfing related,Karitane Beach,M,No,,Unprovoked
SOUTH AFRICA,unknown,"Shark Alley, off Gansbaai",Unknown,Yes,White sharks,Unprovoked
AUSTRALIA,Diving related,"Windang,       Lake Illawara",M,No,"Dusky shark, 2m",Unprovoked
AUSTRALIA,Surfing related,Binalong Bay,F,No,"White shark, 5m",Unprovoked
AUSTRALIA,Surfing related,Fingal Beach,M,No,"White shark, 3.5m",Unprovoked
NEW ZEALAND,Fishing related,Hawkes Bay,Unknown,No,"Mako shark, 3m",Watercraft
ECUADOR,Surfing related,Isla Isabella,M,No,,Unprovoked
NEW ZEALAND,Swimming related,Haumoana ,M,No,Broadnose sevengill shark,Unprovoked
CUBA,Fishing related,Guantanamo,Unknown,No,Bull shark,Unprovoked
AUSTRALIA,Other,Port Kennedy Beach,Unknown,Unknown,No shark involvement,Invalid
AUSTRALIA,Other,near Schouten Island,Unknown,No,2 m shark,Watercraft
AUSTRALIA,Surfing related,Seal Rocks,M,No,,Unprovoked
AUSTRALIA,Boating related,"Long Reef, north of Sydney",M,No,"White shark, 4m to 5m ",Watercraft
AUSTRALIA,Diving related,Port Kennedy Beach,M,Yes,4 to 5m white shark,Unprovoked
USA,Boating related,"Dillon Beach, Marin County",M,No,White shark,Watercraft
NEW ZEALAND,Fishing related,Maraetai,M,No,Bronze whaler shark?,Unprovoked
SOUTH AFRICA,Fishing related,Plettenberg Bay,M,No,"Raggedtooth shark, 2m",Provoked
AUSTRALIA,Fishing related,Mowarry Point,Unknown,No,"White shark, 4.5 to 5 m ",Watercraft
MOZAMBIQUE,Fishing related,Chidenguele,M,Yes,Zambesi shark?,Unprovoked
EGYPT,Diving related,Elphinstone Reef,F,No,Oceanic whitetip shark,Unprovoked
PHILIPPINES,Other,Luzon Strait,M,No,,Sea Disaster
ECUADOR,unknown,Santa Cruz,F,No,,Unprovoked
AUSTRALIA,Fishing related,North Haven,M,No,Bronze whaler shark,Watercraft
TAIWAN,Fishing related,50 miles off Kaohsiung,M,Yes,,Sea Disaster
PHILIPPINES,Fishing related,"off Paoay, Ilocos Norte Province",M,Yes,,Unprovoked
AUSTRALIA,Diving related,"Oceanworld, Manley",M,No,"Grey nurse shark, 3m",Provoked
NEW CALEDONIA,Fishing related,,M,No,Lemon shark,Unprovoked
AUSTRALIA,Fishing related,Darwin,M,No," reef shark, 1.8m",Provoked
AUSTRALIA,Surfing related,Lake Macquarie,M,No,,Unprovoked
USA,Fishing related,"Santa Rosa Beach, Walton County",M,No,,Unprovoked
CROATIA,Fishing related,"Smokvina Bay, Vis Island",M,No,5 m white shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Surfing related,Bethune Beach,M,No,+3' shark,Unprovoked
AUSTRALIA,Swimming related,Near Croker Island,M,No,Bronze whaler shark,Provoked
USA,Swimming related,"Ormond-by-the-Sea, Volusia County",M,No,2' to 3' juvenile shark,Unprovoked
USA,Surfing related,"Ka'a'awa, Oahu",M,No,Tiger shark,Unprovoked
USA,Surfing related,"Surf Beach, Lompoc, Santa Barbara County",M,No,"White shark, 14' to 16' ",Unprovoked
AUSTRALIA,Surfing related,"Clarks Beach, Byron Bay",M,No,3 m shark,Unprovoked
USA,Surfing related,"Ponce Inlet, New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Surfing related,"Ponce Inlet, New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,4' shark,Unprovoked
USA,Surfing related,Hutchinson Island,M,No,,Unprovoked
AUSTRALIA,Surfing related,"Tallow Beach, Byron Bay",M,No,,Unprovoked
USA,Swimming related,"McKenzie Beach Park in Pahoa, Hawai'i ",M,Unknown,Shark involvement not confirmed,Invalid
ENGLAND,Fishing related, Lundy Island,M,No,Blue shark,Provoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,6' shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Surfing related,"Surf City, Topsail Island, Pender County",F,Unknown,Shark involvement not confirmed,Invalid
USA,Swimming related,"Sanibel Island, Lee County",M,No,,Unprovoked
USA,unknown,"North Myrtle Beach, Horry County",M,Unknown,Shark involvement not confirmed,Invalid
USA,Swimming related,Buck Island,F,No,8' bull shark or Caribbean reef shark,Unprovoked
USA,Swimming related,"New Smyrna Beach, Volusia County",F,No,,Unprovoked
USA,Diving related,"Ala Moana Beach Park, Oah'u",M,No,"Tiger shark, 12'",Unprovoked
AUSTRALIA,Surfing related,Levys Beach,M,No,8' white shark or 7-gill shark,Unprovoked
SOUTH AFRICA,unknown,,M,No,White shark,Unprovoked
PANAMA,Surfing related,Playa Teta,M,No,3'  shark,Unprovoked
MEXICO,Swimming related,,M,No,2'  shark,Unprovoked
USA,Swimming related,"Honokowai, Maui",M,No,2' to 3' reef shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Diving related,"Lahilahi Point, Oahu",F,No,,Unprovoked
USA,Swimming related,"Surf City, Topsail Island, Pender County",M,No,3' shark,Unprovoked
USA,Swimming related,"Topsail Island, Pender County",F,No,3' to 4' shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Provoked
USA,Swimming related,"New Smyrna Beach, Volusia County",M,No,4' shark,Unprovoked
EGYPT,Diving related,Daedalus Reef,M,No,Oceanic whitetip shark,Unprovoked
USA,Surfing related,"Carolina Beach, New Hanover County",M,Unknown,Shark involvement not confirmed,Invalid
USA,Surfing related,"Isle of Palms, Charleston County",M,No,,Unprovoked
USA,Swimming related,"Emerald Isle, Carteret County",F,No,,Unprovoked
USA,unknown,"Litchfield Beach, Georgetown County",F,No,,Unprovoked
UNITED KINGDOM,Boating related,"Rock-a-Nore, Hastings",M,No,"Starry smoothhound shark, 1m",Watercraft
USA,Swimming related,"Kamilo Point, Hawai'i",M,Unknown,Shark involvement prior to death not confirmed,Invalid
BAHAMAS,Fishing related,,M,No,"Bull shark, 6' to 7'",Unprovoked
SOUTH AFRICA,Surfing related,Mossel Bay,M,No,"White shark, 2m",Unprovoked
SOUTH AFRICA,Fishing related,Struis Bay,M,No,"White shark, 4.5m",Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Swimming related,"Isle of Palms, Charleston County",M,No,4.5 to 5' shark,Unprovoked
BRAZIL,Surfing related,Guarajuba,M,No,,Unprovoked
USA,Boating related,"West Cove, Catalina Island",F,No,"White shark, 15'",Watercraft
USA,Swimming related,"Fernandina Beach, Nassau County",F,No,,Unprovoked
BRAZIL,Surfing related,"Punta Del Chifre, Olinda",M,No,,Unprovoked
USA,Surfing related,"Cocoa Beach, Brevard  County",M,No,,Unprovoked
SCOTLAND,Fishing related,Balintore Bay,Unknown,No,Basking shark,Watercraft
USA,Surfing related,Cherry Grove,F,No,5' shark,Unprovoked
BRAZIL,Swimming related,"Piedade, Recife",M,No,Bull shark,Unprovoked
USA,Surfing related,"Hammocks Beach State Park, Bear Island, Onslow County",M,No,,Unprovoked
BAHAMAS,Other,Off West End,M,No,Tiger sharks in area,Sea Disaster
MEXICO,Surfing related,Playa Linda,M,No,3 m shark,Unprovoked
MEXICO,Surfing related,Pantla Beach,M,Yes,2 m shark,Unprovoked
FIJI,Diving related,Turtle Island,M,Yes,,Unprovoked
AUSTRALIA,Swimming related,Albany,M,No,"White shark, 4m",Unprovoked
NEW CALEDONIA,Fishing related,Hienghène,M,No,2 small bull sharks,Unprovoked
USA,Swimming related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
SOUTH AFRICA,Fishing related,,M,No,,Provoked
MEXICO,Surfing related,Troncones Beach,M,Yes,Tiger shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,4' shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
NEW CALEDONIA,Swimming related,Poindimié,M,No,"Bull shark, 1.8m",Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Provoked
USA,Swimming related,"Solana Beach, San Diego County",M,Yes,"White shark, 12' to 15'",Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
AUSTRALIA,unknown,Crescent Head,M,Unknown,"Tiger shark, 2.3m ",Unprovoked
SOUTH AFRICA,Diving related,Aliwal Shoal,M,Unknown,"Tiger shark, 13' female",Invalid
MEXICO,Swimming related,"Delfines Beach, Cancun",M,Unknown,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",Invalid
AUSTRALIA,Surfing related,"Duranbah, Greenmount Beach",M,Unknown,Shark involvement not confirmed; thought to be a barracuda bite,Invalid
USA,Surfing related,"Playalinda Beach, Canaveral National Seashore, Brevard County",M,No,1.5' to 2' shark,Unprovoked
FIJI,Fishing related,,M,No,,Unprovoked
USA,Swimming related,"Palm Beach Shores, Palm Beach County",M,No,6' shark,Unprovoked
USA,Surfing related,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Unknown,No,,Unprovoked
AUSTRALIA,Surfing related,"Lighthouse Beach, Ballina",M,Yes,Bull shark,Unprovoked
USA,Surfing related,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",M,No,,Unprovoked
SOUTH AFRICA,Surfing related,Scottburgh,M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach / Ponce Inlet, Volusia County",M,No,4' to 5' shark,Unprovoked
USA,Surfing related,"Near Cocoa Beach, Brevard  County",M,No,a small shark,Unprovoked
USA,Surfing related,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",M,No,2.5' shark,Unprovoked
USA,Swimming related,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Other,"Lovers Key State Park, Bonita Springs, Lee County",M,No,Shark involvement not confirmed,Unprovoked
USA,Surfing related," Huntington Beach, Orange County",M,No,White shark,Unprovoked
BAHAMAS,Diving related,"Dive site known as ""The End of the Map""",M,Yes,"A bull shark, according to some of the divers on the boat",Unprovoked
FRENCH POLYNESIA,Fishing related,Tahiti,M,No,,Unprovoked
USA,Surfing related,"Ponce Inlet, Volusia County",M,No,,Unprovoked
AUSTRALIA,Surfing related,Horseshoe Bay,F,No,1 m shark,Unprovoked
USA,Surfing related,"Opposite Patrick Air Force Base, Brevard County",M,No,3' shark,Unprovoked
JAPAN,Diving related,,M,Unknown,"Goblin shark, 4.2'",Provoked
SOUTH AFRICA,Surfing related,"Suncoast Pirates Beach, Durban",M,No,"Blacktip shark, 2m",Unprovoked
AUSTRALIA,Other,200 km east of Coolangatta  ,M,No,"Mako shark, 90kg",Provoked
NEW ZEALAND,Swimming related,Marfells Beach,M,Unknown,No shark involvement,Invalid
NEW ZEALAND,Other,Omaha Beach,Unknown,No,"Bronze whaler shark, 4m",Watercraft
USA,Surfing related,"Playalinda Beach, Canaveral National Seashore, Brevard County",M,No,a small shark,Unprovoked
USA,Fishing related,"Off Fort Pierce, St. Lucie County",M,No,"Nurse shark, 10'",Provoked
MEXICO,Surfing related,Playas de Tijuana,M,No,Possibly a hammerhead shark,Unprovoked
ECUADOR,Surfing related,San Cristobal Island,M,No,3 m shark,Unprovoked
BRITISH VIRGIN ISLANDS,Diving related,,M,Unknown,Invalid,Invalid
AUSTRALIA,Surfing related,Jimmy's Beach,M,No,2 m shark,Unprovoked
AUSTRALIA,Swimming related,South Stradbroke Island,M,No,"""a small shark""",Unprovoked
AUSTRALIA,Swimming related,Bondi ,M,Unknown,Not a shark attack; it was a hoax,Invalid
USA,Surfing related,"Waialua Bay, O'ahu",M,No,Tiger shark,Unprovoked
NEW ZEALAND,Surfing related,Kaikoura,F,No,,Unprovoked
BRAZIL,Other,Itamaracá,M,No,2.27 m shark,Unprovoked
AUSTRALIA,Fishing related,In a tidal creek    5 km from Wickham,M,No,reef shark,Provoked
AUSTRALIA,Surfing related,"Wategos Beach, Byon Bay",M,No,,Unprovoked
SOUTH AFRICA,Surfing related,The Strand,M,No,1.5 to 2 m shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,4' to 5' shark,Unprovoked
USA,Surfing related,"Round Island Park, Indian River County",M,No,5' shark,Unprovoked
SOUTH AFRICA,Surfing related,Bonza Bay,M,No,"White shark, 3m to 4m",Unprovoked
MEXICO,Diving related,Guadalupe Island,M,Unknown,Invalid,Invalid
USA,Swimming related,"Wailea, Maui",M,No,Tiger shark,Unprovoked
AUSTRALIA,Surfing related,Byron Bay,F,No,"White shark, 2.5m ",Unprovoked
AUSTRALIA,Fishing related,Holmes Reef,M,No,Bronze whaler shark,Unprovoked
USA,Surfing related,"Venice Pier, Venice, Los Angeles County",M,No,3' to 4' shark,Unprovoked
USA,Surfing related,"Playalinda Beach, Canaveral National Seashore, Brevard County",M,No,"Blacktip shark, 5'",Unprovoked
USA,Surfing related,"Santa Monica, Los Angeles County",M,No,,Unprovoked
PHILIPPINES,Other,Off Cagayancillo,M,Yes,,Sea Disaster
NEW CALEDONIA,Swimming related,"Bay of Luengoni, Lifou Island",F,Yes,White shark,Unprovoked
BAHAMAS,Fishing related,Sweetings Cay,F,No,Caribbean reef shark,Unprovoked
USA,Surfing related,"Moonstone Beach, Humboldt County",F,No,White shark,Unprovoked
EGYPT,Swimming related,Daedalus Reef ,F,No,Oceanic whitetip sharks were in the vicinity,Unprovoked
USA,Diving related,Jupiter Inlet,F,Unknown,Shark involvement prior to death was not confirmed,Invalid
USA,Surfing related,Huguenot Park,F,No,4' shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,3' shark,Unprovoked
